"A","P","PR","CP","CI","D"
37.21,370000,3600,75018,miss,"PIJ0001"
37.21,370000,3600,75018,miss,"PIJ0001"
41.24,117000,5100,41330,miss,"Immediate"
21.43,145000,5500,92100,mister,"Differe"
21.43,145000,5500,92100,mister,"Differe"
33.41,205000,5400,93420,miss,"Immediate"
33.41,164000,5400,93420,miss,"Immediate"
33.41,199003,5400,93420,miss,"Immediate"
33.41,205000,5400,93420,miss,"Immediate"
33.41,164000,5400,93420,miss,"Immediate"
33.41,199003,5400,93420,miss,"Immediate"
60.47,20000,3600,75012,mister,"Immediate"
60.88,55000,3600,75012,mister,"Immediate"
60.88,71000,3600,75012,mister,"Immediate"
60.88,91000,3600,75012,mister,"Immediate"
29.08,8965,5500,27320,mister,"Immediate"
29.08,8965,5500,27320,mister,"Immediate"
33.69,183890,5400,69630,miss,"Immediate"
33.69,183000,5400,69630,miss,"Immediate"
31.68,124110,6100,54560,mister,"Immediate"
31.68,89614,6100,54560,mister,"Immediate"
31.68,89614,6100,54560,mister,"Immediate"
31.68,124110,6100,54560,mister,"Immediate"
31.68,89614,6100,54560,mister,"Immediate"
31.68,89614,6100,54560,mister,"Immediate"
75.01,7000,8600,34310,mrs,"Differe"
75.01,7000,8600,34310,mrs,"Differe"
75.01,3000,8600,34310,mrs,"Differe"
75.01,7000,8600,34310,mrs,"Differe"
75.01,7000,8600,34310,mrs,"Differe"
75.01,3000,8600,34310,mrs,"Differe"
49.11,84048,3600,75116,miss,"Immediate"
49.11,75838,3600,75116,miss,"Immediate"
49.11,70144,3600,75116,miss,"Immediate"
49.11,70144,3600,75116,miss,"Immediate"
49.11,84048,3600,75116,miss,"Immediate"
49.11,75838,3600,75116,miss,"Immediate"
49.11,70144,3600,75116,miss,"Immediate"
49.11,70144,3600,75116,miss,"Immediate"
49.11,84048,3600,75116,miss,"Immediate"
49.11,75838,3600,75116,miss,"Immediate"
49.11,70144,3600,75116,miss,"Immediate"
49.11,70144,3600,75116,miss,"Immediate"
30.93,26500,4500,54510,miss,"Immediate"
39.9,140000,3600,38270,mister,"Differe"
40.16,18793,5500,95350,mister,"Differe"
40.16,164035,5500,95350,mister,"Differe"
40.16,165301.4,5500,95350,mister,"Differe"
40.16,18793,5500,95350,mister,"Differe"
40.16,164035,5500,95350,mister,"Differe"
40.16,165301.4,5500,95350,mister,"Differe"
47.2,251216,3600,59178,mister,"PIJ0001"
47.2,251216,3600,59178,mister,"PIJ0001"
68.16,3000,7000,37460,mrs,"Differe"
33.04,89019.33,3600,99999,miss,"Immediate"
33.04,90719.33,3600,99999,miss,"Immediate"
33.04,90719.33,3600,99999,miss,"Immediate"
33.04,80000.1,3600,99999,miss,"Immediate"
33.04,263500,3600,99999,miss,"Immediate"
50.21,114752,6100,60190,mister,"Differe"
48.91,103040.75,3600,78600,mrs,"Immediate"
48.91,103040.75,3600,78600,mrs,"Immediate"
48.91,100832.34,3600,78600,mrs,"Immediate"
48.91,44397.14,3600,78600,mrs,"Immediate"
48.91,61002.77,3600,78600,mrs,"Immediate"
48.91,103040.75,3600,78600,mrs,"Immediate"
48.91,103040.75,3600,78600,mrs,"Immediate"
48.91,100832.34,3600,78600,mrs,"Immediate"
48.91,44397.14,3600,78600,mrs,"Immediate"
48.91,61002.77,3600,78600,mrs,"Immediate"
48.91,103040.75,3600,78600,mrs,"Immediate"
48.91,103040.75,3600,78600,mrs,"Immediate"
48.91,100832.34,3600,78600,mrs,"Immediate"
48.91,44397.14,3600,78600,mrs,"Immediate"
48.91,61002.77,3600,78600,mrs,"Immediate"
48.91,103040.75,3600,78600,mrs,"Immediate"
48.91,103040.75,3600,78600,mrs,"Immediate"
48.91,100832.34,3600,78600,mrs,"Immediate"
48.91,44397.14,3600,78600,mrs,"Immediate"
48.91,61002.77,3600,78600,mrs,"Immediate"
39.49,118000,3600,17000,mister,"Immediate"
39.49,118000,3600,17000,mister,"Immediate"
59.41,339311,3600,78000,mister,"Immediate"
59.41,339250,3600,78000,mister,"Immediate"
59.41,339311,3600,78000,mister,"Immediate"
51.79,280763,3600,83470,mister,"Differe"
51.79,280763,3600,83470,mister,"Differe"
51.79,280763,3600,83470,mister,"Differe"
31.33,235150,5400,91320,miss,"Immediate"
31.33,235150,5400,91320,miss,"Immediate"
31.33,235150,5400,91320,miss,"Immediate"
31.33,235150,5400,91320,miss,"Immediate"
41.08,253649.01,8600,69700,mrs,"Immediate"
41.08,253649.01,8600,69700,mrs,"Immediate"
41.08,253649.01,8600,69700,mrs,"PIJ0001"
41.08,253649.01,8600,69700,mrs,"PIJ0001"
28.3,220000,4700,78390,miss,"Immediate"
63.32,67995,2300,59300,mister,"Immediate"
55.66,5000,2000,56740,mister,"Immediate"
65.08,20000,2200,20166,mrs,"Immediate"
65.08,40000,2200,20166,mrs,"Immediate"
65.08,20000,2200,20166,mrs,"Immediate"
65.08,40000,2200,20166,mrs,"Immediate"
41.87,20142,5500,95470,miss,"Differe"
48.45,46385.94,3400,78260,mister,"Immediate"
48.45,228000,3400,78260,mister,"Immediate"
48.45,225000,3400,78260,mister,"Immediate"
48.45,46385.94,3400,78260,mister,"Immediate"
48.45,228000,3400,78260,mister,"Immediate"
48.45,225000,3400,78260,mister,"Immediate"
46.05,46385.94,3400,78260,mister,"Immediate"
46.05,228000,3400,78260,mister,"Immediate"
46.05,225000,3400,78260,mister,"Immediate"
46.05,46385.94,3400,78260,mister,"Immediate"
46.05,228000,3400,78260,mister,"Immediate"
46.05,225000,3400,78260,mister,"Immediate"
26.27,113208,4700,13200,mister,"Immediate"
26.27,101440,4700,13200,mister,"Immediate"
51.45,81921,4600,47200,miss,"Differe"
35.31,28848.28,5500,62110,mrs,"Immediate"
35.31,25940,5500,62110,mrs,"Immediate"
35.31,28848.28,5500,62110,mrs,"Immediate"
35.31,25940,5500,62110,mrs,"Immediate"
42.96,551619,3600,93100,mister,"PIJ0001"
42.77,551619,3600,93100,mister,"Immediate"
32.47,8000,5500,76110,miss,"Differe"
39.04,30000,5500,74220,mister,"Immediate"
39.04,32000,5500,74220,mister,"Immediate"
39.04,25000,5500,74220,mister,"Immediate"
31.62,456323,3600,93400,mrs,"Immediate"
31.62,456323,3600,93400,mrs,"Immediate"
34,456323,3600,93400,mrs,"Differe"
34,456323,3600,93400,mrs,"Differe"
31.6,45000,5500,06500,mister,"Differe"
63.81,30000,7600,71210,mister,"Differe"
63.86,30000,7600,71210,mister,"Differe"
53.94,269000,3400,78100,mrs,"Differe"
53.94,269000,3400,78100,mrs,"Differe"
53.94,269000,3400,78100,mrs,"Differe"
36.67,135100,5400,59190,mister,"Differe"
48.2,10000,2300,13110,mister,"Immediate"
51.04,50000,3600,28500,mister,"Differe"
51.04,50000,3600,28500,mister,"Differe"
34.87,26067,5500,35530,miss,"Immediate"
43.48,26067,5500,35530,miss,"Differe"
39.89,20000,2300,13110,mister,"Immediate"
39.89,6000,2300,13110,mister,"Immediate"
39.89,21600,2300,13110,mister,"Immediate"
39.89,6000,2300,13110,mister,"Immediate"
39.89,6000,2300,13110,mister,"Immediate"
39.89,6000,2300,13110,mister,"Immediate"
39.89,20000,2300,13110,mister,"Immediate"
39.89,6000,2300,13110,mister,"Immediate"
39.89,21600,2300,13110,mister,"Immediate"
39.89,6000,2300,13110,mister,"Immediate"
39.89,6000,2300,13110,mister,"Immediate"
39.89,6000,2300,13110,mister,"Immediate"
50.45,21000,2000,88110,mister,"Immediate"
50.45,15000,2000,88110,mister,"Immediate"
38.83,103000,2300,40380,mister,"Differe"
38.83,116700,2300,40380,mister,"Differe"
56.06,180000,3600,75012,mister,"PIJ0001"
48.05,92000,3300,74000,miss,"Immediate"
48.05,92000,3300,74000,miss,"Immediate"
29.7,20000,311B,31330,miss,"Differe"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,170450,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,334100,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,170450,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,334100,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,170450,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,334100,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,170450,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,146928,3300,68330,mrs,"Immediate"
46.23,334100,3300,68330,mrs,"Immediate"
39.47,100000,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,170450,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,334100,3300,68330,mrs,"Immediate"
39.47,100000,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,170450,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,334100,3300,68330,mrs,"Immediate"
39.47,100000,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,170450,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,334100,3300,68330,mrs,"Immediate"
39.47,100000,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,170450,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,334100,3300,68330,mrs,"Immediate"
39.47,100000,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,170450,3300,68330,mrs,"Immediate"
39.47,146928,3300,68330,mrs,"Immediate"
39.47,334100,3300,68330,mrs,"Immediate"
38.46,12300,5400,10200,miss,"Differe"
55.8,60000,3100,35400,mister,"Differe"
55.8,26900,3100,35400,mister,"Differe"
24.58,218000,5500,75015,mister,"Differe"
51.58,225406.33,5600,94240,mister,"Differe"
51.58,226786.03,5600,94240,mister,"Differe"
51.58,226786.03,5600,94240,mister,"Differe"
51.58,225406.33,5600,94240,mister,"PIJ0001"
51.58,226786.03,5600,94240,mister,"PIJ0001"
51.58,226786.03,5600,94240,mister,"PIJ0001"
29.97,290000,3600,78400,mister,"Immediate"
37.29,290000,3600,78400,mister,"Immediate"
53.95,50000,3100,18110,mister,"Immediate"
53.95,10000,3100,18110,mister,"Immediate"
53.95,10000,3100,18110,mister,"Immediate"
46.72,25900,431G,64510,mrs,"Immediate"
46.72,31000,431G,64510,mrs,"Immediate"
46.72,31000,431G,64510,mrs,"Immediate"
46.72,5000,431G,64510,mrs,"Immediate"
41.6,672000,2300,92100,mister,"Immediate"
58.78,25000,3600,93160,mrs,"Immediate"
58.78,30000,3600,93160,mrs,"Immediate"
37.28,154017.2,3400,33100,miss,"Immediate"
37.28,154017.2,3400,33100,miss,"Immediate"
35.61,208020,4700,94310,mrs,"PIJ0001"
